,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
0,2019-08-10,17:30 (18:30),Matchweek 1,Sat,Away,L,1,3,Tottenham,214,277,77.3,4137,1842,97,107,90.7,90,103,87.4,24,53,45.3,1,0.7,0.2,7,17,4,2,9,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Home,L,1,2,Bournemouth,439,555,79.1,8468,2910,170,196,86.7,213,245,86.9,52,88,59.1,1,1.8,1.9,17,33,15,7,37,Match Report
2,2019-08-23,20:00 (21:00),Matchweek 3,Fri,Home,W,2,0,Everton,236,339,69.6,5106,2211,90,109,82.6,92,118,78.0,49,92,53.3,2,1.0,0.7,7,17,5,1,19,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Away,L,0,1,Crystal Palace,341,422,80.8,6519,2174,128,142,90.1,172,190,90.5,34,72,47.2,0,0.2,0.6,7,33,8,3,23,Match Report
4,2019-09-16,20:00 (21:00),Matchweek 5,Mon,Home,D,0,0,West Ham,353,448,78.8,6087,2259,157,177,88.7,158,180,87.8,27,52,51.9,0,1.2,1.0,8,32,8,3,24,Match Report
5,2019-09-22,16:30 (17:30),Matchweek 6,Sun,Away,L,2,3,Arsenal,281,365,77.0,5201,2201,125,146,85.6,120,143,83.9,28,64,43.8,2,1.3,1.1,11,20,9,2,32,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,D,2,2,Burnley,351,472,74.4,6031,1857,169,196,86.2,149,181,82.3,27,73,37.0,2,0.9,0.5,14,27,7,3,29,Match Report
7,2019-10-05,15:00 (16:00),Matchweek 8,Sat,Away,W,5,1,Norwich City,293,390,75.1,5846,2299,116,132,87.9,119,142,83.8,48,90,53.3,5,1.8,1.1,15,29,10,2,29,Match Report
8,2019-10-19,15:00 (16:00),Matchweek 9,Sat,Home,W,2,1,Brighton,399,495,80.6,6870,2381,187,207,90.3,172,201,85.6,32,65,49.2,2,2.0,1.0,17,35,12,5,29,Match Report
9,2019-10-26,12:30 (13:30),Matchweek 10,Sat,Away,L,0,3,Manchester City,292,381,76.6,5468,2154,133,146,91.1,127,150,84.7,30,64,46.9,0,0.3,0.3,5,21,7,3,18,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,L,1,2,Liverpool,151,266,56.8,3073,1621,69,86,80.2,50,81,61.7,27,74,36.5,1,0.3,0.3,3,3,4,1,13,Match Report
11,2019-11-10,14:00 (16:00),Matchweek 12,Sun,Away,L,1,2,Wolves,325,429,75.8,5963,2285,134,153,87.6,151,184,82.1,32,70,45.7,0,0.4,0.4,7,23,2,1,19,Match Report
12,2019-11-25,20:00 (22:00),Matchweek 13,Mon,Home,W,2,0,Newcastle Utd,452,546,82.8,8520,2997,184,206,89.3,211,226,93.4,47,85,55.3,2,2.3,1.8,17,35,11,0,37,Match Report
13,2019-12-01,16:30 (18:30),Matchweek 14,Sun,Away,D,2,2,Manchester Utd,238,356,66.9,4399,1736,97,123,78.9,94,114,82.5,35,85,41.2,2,0.3,0.7,7,19,7,1,21,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Away,L,1,2,Chelsea,302,396,76.3,5635,2335,140,153,91.5,122,153,79.7,38,77,49.4,1,0.9,0.6,8,23,9,5,23,Match Report
15,2019-12-08,14:00 (16:00),Matchweek 16,Sun,Home,L,1,4,Leicester City,262,361,72.6,5040,2117,114,139,82.0,103,123,83.7,37,81,45.7,1,1.1,1.0,14,24,14,3,30,Match Report
16,2019-12-14,15:00 (17:00),Matchweek 17,Sat,Away,L,0,2,Sheffield Utd,310,448,69.2,5894,2194,135,164,82.3,127,166,76.5,40,96,41.7,0,0.3,0.4,7,23,5,3,19,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Home,L,1,3,Southampton,378,497,76.1,6847,2609,173,200,86.5,146,180,81.1,53,89,59.6,0,1.0,0.9,15,34,9,6,31,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,W,1,0,Norwich City,300,418,71.8,5130,1998,142,162,87.7,114,154,74.0,32,73,43.8,1,0.6,1.0,11,18,8,3,21,Match Report
19,2019-12-28,15:00 (17:00),Matchweek 20,Sat,Away,L,0,3,Watford,384,484,79.3,6884,2276,169,196,86.2,173,201,86.1,38,71,53.5,0,0.6,0.7,9,30,9,4,31,Match Report
20,2020-01-01,12:30 (14:30),Matchweek 21,Wed,Away,W,2,1,Burnley,240,360,66.7,4472,1927,115,144,79.9,91,123,74.0,32,72,44.4,1,0.9,0.7,9,18,5,1,18,Match Report
21,2020-01-12,16:30 (18:30),Matchweek 22,Sun,Home,L,1,6,Manchester City,313,389,80.5,5377,1842,155,173,89.6,116,134,86.6,33,61,54.1,0,0.3,0.2,5,11,5,2,9,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Away,D,1,1,Brighton,325,452,71.9,5666,2303,168,198,84.8,110,142,77.5,42,82,51.2,1,0.4,0.3,5,24,4,1,25,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Home,W,2,1,Watford,492,630,78.1,9253,3068,205,241,85.1,220,263,83.7,63,100,63.0,1,0.8,0.6,14,42,4,1,34,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Away,L,1,2,Bournemouth,380,517,73.5,7379,2383,148,178,83.1,176,212,83.0,51,102,50.0,0,1.2,0.9,15,43,7,4,33,Match Report
25,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,For Aston Villa,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
27,2020-02-16,14:00 (16:00),Matchweek 26,Sun,Home,L,2,3,Tottenham,381,511,74.6,7082,2790,166,197,84.3,155,189,82.0,53,92,57.6,1,1.6,1.3,14,26,8,2,23,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Away,L,0,2,Southampton,324,454,71.4,6001,2365,134,164,81.7,129,160,80.6,45,91,49.5,0,0.5,0.3,4,18,8,2,23,Match Report
29,2020-03-09,20:00 (22:00),Matchweek 29,Mon,Away,L,0,4,Leicester City,234,344,68.0,4037,1788,119,143,83.2,82,110,74.5,25,65,38.5,0,0.4,0.3,3,10,1,0,14,Match Report
30,2020-06-17,18:00 (19:00),Matchweek 28,Wed,Home,D,0,0,Sheffield Utd,340,445,76.4,7308,2582,115,139,82.7,150,176,85.2,67,106,63.2,0,1.3,1.2,12,24,3,0,22,Match Report
31,2020-06-21,16:15 (17:15),Matchweek 30,Sun,Home,L,1,2,Chelsea,176,277,63.5,3256,1538,80,104,76.9,65,94,69.1,24,63,38.1,0,0.6,0.7,5,17,3,2,12,Match Report
32,2020-06-24,18:00 (19:00),Matchweek 31,Wed,Away,D,1,1,Newcastle Utd,312,424,73.6,5447,2391,147,162,90.7,135,180,75.0,28,73,38.4,1,1.6,1.4,13,35,9,4,40,Match Report
33,2020-06-27,12:30 (13:30),Matchweek 32,Sat,Home,L,0,1,Wolves,367,458,80.1,6601,2189,173,187,92.5,145,164,88.4,44,91,48.4,0,0.4,0.4,9,37,6,3,19,Match Report
34,2020-07-05,16:30 (17:30),Matchweek 33,Sun,Away,L,0,2,Liverpool,199,312,63.8,3617,1773,95,110,86.4,64,95,67.4,32,84,38.1,0,0.7,0.3,9,18,7,1,22,Match Report
35,2020-07-09,20:15 (21:15),Matchweek 34,Thu,Home,L,0,3,Manchester Utd,264,353,74.8,4610,1859,124,145,85.5,91,116,78.4,32,61,52.5,0,0.4,0.4,7,17,7,4,18,Match Report
36,2020-07-12,14:15 (15:15),Matchweek 35,Sun,Home,W,2,0,Crystal Palace,258,363,71.1,5198,2382,111,133,83.5,95,125,76.0,42,79,53.2,1,1.5,0.8,10,20,8,2,26,Match Report
37,2020-07-16,18:00 (19:00),Matchweek 36,Thu,Away,D,1,1,Everton,313,412,76.0,6178,2879,124,139,89.2,105,133,78.9,60,104,57.7,1,1.2,1.2,12,25,11,4,35,Match Report
38,2020-07-21,20:15 (21:15),Matchweek 37,Tue,Home,W,1,0,Arsenal,216,303,71.3,4368,1917,92,108,85.2,76,102,74.5,41,73,56.2,1,0.5,0.3,7,10,6,2,16,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Away,D,1,1,West Ham,217,323,67.2,4510,1772,74,90,82.2,102,129,79.1,36,89,40.4,1,0.9,0.4,10,17,5,2,16,Match Report
40,,,,,,9-8-21,41,67,,11652,15672,74.3,217478,84204,5074,5895,86.1,4810,5882,81.8,1480,3002,49.3,32,34.3,27.7,369,908,270,95,899,
