,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 23_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
0,2020-09-13,14:00 (15:00),Matchweek 1,Sun,Home,L,0,3,Leicester City,12,10,0,0,0,1,1,1,0,0,0,0,0,1,Match Report
1,2020-09-19,12:30 (13:30),Matchweek 2,Sat,Away,L,2,5,Everton,9,8,0,0,0,1,0,2,1,0,0,0,1,0,Match Report
2,2020-09-26,17:30 (18:30),Matchweek 3,Sat,Home,D,3,3,Chelsea,14,10,1,2,1,0,0,4,2,1,1,0,0,0,Match Report
3,2020-10-04,12:00 (13:00),Matchweek 4,Sun,Away,L,0,2,Southampton,7,3,2,0,1,1,0,0,0,0,0,0,0,0,Match Report
4,2020-10-19,17:30 (18:30),Matchweek 5,Mon,Home,D,0,0,Burnley,22,14,3,0,5,0,0,0,0,0,0,0,0,0,Match Report
5,2020-10-26,17:30 (19:30),Matchweek 6,Mon,Away,D,1,1,Brighton,15,14,1,0,0,0,0,0,0,0,0,0,0,0,Match Report
6,2020-11-02,17:30 (19:30),Matchweek 7,Mon,Away,L,0,2,Fulham,15,10,1,1,0,1,2,0,0,0,0,0,0,0,Match Report
7,2020-11-08,12:00 (14:00),Matchweek 8,Sun,Home,L,0,1,Tottenham,23,14,3,2,1,1,2,0,0,0,0,0,0,0,Match Report
8,2020-11-21,20:00 (22:00),Matchweek 9,Sat,Away,L,0,1,Manchester Utd,13,9,2,1,1,0,0,0,0,0,0,0,0,0,Match Report
9,2020-11-28,20:00 (22:00),Matchweek 10,Sat,Home,W,1,0,Sheffield Utd,31,16,5,1,6,2,1,1,0,0,0,1,0,0,Match Report
10,2020-12-06,12:00 (14:00),Matchweek 11,Sun,Home,L,1,5,Crystal Palace,18,15,1,1,0,0,1,3,2,0,0,0,0,1,Match Report
11,2020-12-12,15:00 (17:00),Matchweek 12,Sat,Away,L,1,2,Newcastle Utd,20,15,1,1,1,2,0,2,2,0,0,0,0,0,Match Report
12,2020-12-15,20:00 (22:00),Matchweek 13,Tue,Away,D,1,1,Manchester City,8,6,1,0,0,1,0,0,0,0,0,0,0,0,Match Report
13,2020-12-20,19:15 (21:15),Matchweek 14,Sun,Home,L,0,3,Aston Villa,2,1,0,0,0,1,0,0,0,0,0,0,0,0,Match Report
14,2020-12-27,16:30 (18:30),Matchweek 15,Sun,Away,D,1,1,Liverpool,10,9,0,0,0,0,1,2,2,0,0,0,0,0,Match Report
15,2020-12-29,18:00 (20:00),Matchweek 16,Tue,Home,L,0,5,Leeds United,5,2,0,1,0,0,2,0,0,0,0,0,0,0,Match Report
16,2021-01-02,20:00 (22:00),Matchweek 17,Sat,Home,L,0,4,Arsenal,11,9,1,0,0,0,1,0,0,0,0,0,0,0,Match Report
17,2021-01-16,12:30 (14:30),Matchweek 19,Sat,Away,W,3,2,Wolves,25,16,1,1,1,2,4,8,3,1,0,0,2,2,Match Report
18,2021-01-19,18:00 (20:00),Matchweek 18,Tue,Away,L,1,2,West Ham,12,12,0,0,0,0,0,2,2,0,0,0,0,0,Match Report
19,2021-01-26,20:15 (22:15),Matchweek 20,Tue,Home,L,0,5,Manchester City,7,2,1,0,1,1,2,0,0,0,0,0,0,0,Match Report
20,2021-01-30,15:00 (17:00),Matchweek 21,Sat,Home,D,2,2,Fulham,8,8,0,0,0,0,0,4,4,0,0,0,0,0,Match Report
21,2021-02-02,18:00 (20:00),Matchweek 22,Tue,Away,L,1,2,Sheffield Utd,13,7,2,0,2,1,1,1,0,0,0,1,0,0,Match Report
22,2021-02-07,12:00 (14:00),Matchweek 23,Sun,Away,L,0,2,Tottenham,8,5,2,0,0,1,0,0,0,0,0,0,0,0,Match Report
23,2021-02-14,14:00 (16:00),Matchweek 24,Sun,Home,D,1,1,Manchester Utd,14,11,1,1,0,1,0,2,2,0,0,0,0,0,Match Report
24,2021-02-20,15:00 (17:00),Matchweek 25,Sat,Away,D,0,0,Burnley,18,13,0,2,0,3,0,0,0,0,0,0,0,0,Match Report
25,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,For West Bromwich Albion,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
27,2021-02-27,15:00 (17:00),Matchweek 26,Sat,Home,W,1,0,Brighton,10,5,2,0,1,1,1,2,0,1,0,1,0,0,Match Report
28,2021-03-04,18:00 (20:00),Matchweek 29,Thu,Home,L,0,1,Everton,20,15,2,3,0,0,0,0,0,0,0,0,0,0,Match Report
29,2021-03-07,12:00 (14:00),Matchweek 27,Sun,Home,D,0,0,Newcastle Utd,21,18,3,0,0,0,0,0,0,0,0,0,0,0,Match Report
30,2021-03-13,15:00 (17:00),Matchweek 28,Sat,Away,L,0,1,Crystal Palace,23,15,4,0,2,2,0,0,0,0,0,0,0,0,Match Report
31,2021-04-03,12:30 (13:30),Matchweek 30,Sat,Away,W,5,2,Chelsea,23,16,1,3,0,2,1,8,8,0,0,0,0,0,Match Report
32,2021-04-12,18:00 (19:00),Matchweek 31,Mon,Home,W,3,0,Southampton,28,20,2,2,1,2,1,6,4,0,0,0,1,1,Match Report
33,2021-04-22,20:00 (21:00),Matchweek 32,Thu,Away,L,0,3,Leicester City,8,2,2,2,0,2,0,0,0,0,0,0,0,0,Match Report
34,2021-04-25,19:00 (20:00),Matchweek 33,Sun,Away,D,2,2,Aston Villa,15,9,1,0,0,3,2,2,1,0,0,0,1,0,Match Report
35,2021-05-03,18:00 (19:00),Matchweek 34,Mon,Home,D,1,1,Wolves,16,13,2,0,0,0,1,2,2,0,0,0,0,0,Match Report
36,2021-05-09,19:00 (20:00),Matchweek 35,Sun,Away,L,1,3,Arsenal,17,14,2,0,0,1,0,1,1,0,0,0,0,0,Match Report
37,2021-05-16,16:30 (17:30),Matchweek 36,Sun,Home,L,1,2,Liverpool,18,10,5,0,0,2,1,2,2,0,0,0,0,0,Match Report
38,2021-05-19,20:15 (21:15),Matchweek 37,Wed,Home,L,1,3,West Ham,21,13,3,2,2,1,0,2,2,0,0,0,0,0,Match Report
39,2021-05-23,16:00 (17:00),Matchweek 38,Sun,Away,L,1,3,Leeds United,16,10,2,0,1,2,1,0,0,0,0,0,0,0,Match Report
40,,,,,,5-11-22,35,76,,576,399,60,26,27,38,26,57,40,3,1,3,5,5,
