,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 23_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
0,2019-08-10,15:00 (16:00),Matchweek 1,Sat,Home,D,0,0,Everton,11,7,2,0,1,0,1,0,0,0,0,0,0,0,Match Report
1,2019-08-18,14:00 (15:00),Matchweek 2,Sun,Away,L,0,1,Sheffield Utd,10,7,0,1,0,1,1,0,0,0,0,0,0,0,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Away,W,2,1,Manchester Utd,9,6,0,0,0,1,2,3,3,0,0,0,0,0,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,W,1,0,Aston Villa,37,20,6,3,4,3,1,1,1,0,0,0,0,0,Match Report
4,2019-09-14,15:00 (16:00),Matchweek 5,Sat,Away,L,0,4,Tottenham,19,15,2,0,0,1,1,0,0,0,0,0,0,0,Match Report
5,2019-09-22,14:00 (15:00),Matchweek 6,Sun,Home,D,1,1,Wolves,19,12,1,2,2,1,1,0,0,0,0,0,0,0,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Home,W,2,0,Norwich City,24,18,1,2,2,1,0,4,1,0,1,1,1,0,Match Report
7,2019-10-05,17:30 (18:30),Matchweek 8,Sat,Away,W,2,1,West Ham,11,6,1,2,1,1,0,3,3,0,0,0,0,0,Match Report
8,2019-10-19,17:30 (18:30),Matchweek 9,Sat,Home,L,0,2,Manchester City,13,7,2,1,1,1,1,0,0,0,0,0,0,0,Match Report
9,2019-10-27,16:30 (18:30),Matchweek 10,Sun,Away,D,2,2,Arsenal,18,13,2,1,0,2,0,4,3,0,0,0,1,0,Match Report
10,2019-11-03,14:00 (16:00),Matchweek 11,Sun,Home,L,0,2,Leicester City,23,14,2,5,0,1,1,0,0,0,0,0,0,0,Match Report
11,2019-11-09,12:30 (14:30),Matchweek 12,Sat,Away,L,0,2,Chelsea,6,3,1,1,0,1,0,0,0,0,0,0,0,0,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Home,L,1,2,Liverpool,25,22,0,0,3,0,0,2,2,0,0,0,0,0,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Away,W,2,0,Burnley,11,9,1,0,0,1,0,2,1,1,0,0,0,0,Match Report
14,2019-12-03,19:30 (21:30),Matchweek 15,Tue,Home,W,1,0,Bournemouth,11,5,2,0,0,1,3,1,1,0,0,0,0,0,Match Report
15,2019-12-07,15:00 (17:00),Matchweek 16,Sat,Away,D,0,0,Watford,6,4,0,2,0,0,0,0,0,0,0,0,0,0,Match Report
16,2019-12-16,19:45 (21:45),Matchweek 17,Mon,Home,D,1,1,Brighton,15,13,1,1,0,0,0,2,2,0,0,0,0,0,Match Report
17,2019-12-21,15:00 (17:00),Matchweek 18,Sat,Away,L,0,1,Newcastle Utd,31,20,4,3,1,3,0,0,0,0,0,0,0,0,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,W,2,1,West Ham,22,14,1,6,1,0,0,4,2,0,2,0,0,0,Match Report
19,2019-12-28,15:00 (17:00),Matchweek 20,Sat,Away,D,1,1,Southampton,6,2,2,1,0,1,0,2,0,1,0,0,1,0,Match Report
20,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Away,D,1,1,Norwich City,19,12,2,0,2,3,0,1,0,0,0,1,0,0,Match Report
21,2020-01-11,12:30 (14:30),Matchweek 22,Sat,Home,D,1,1,Arsenal,11,6,2,1,0,2,0,2,2,0,0,0,0,0,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Away,D,2,2,Manchester City,10,5,2,1,1,1,0,2,1,1,0,0,0,0,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Home,L,0,2,Southampton,10,8,0,0,0,1,1,0,0,0,0,0,0,0,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Home,L,0,1,Sheffield Utd,24,20,1,1,0,0,2,0,0,0,0,0,0,0,Match Report
25,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,For Crystal Palace,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SCA,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,PassLive,PassDead,Drib,Sh,Fld,Def,Match Report
27,2020-02-08,12:30 (14:30),Matchweek 26,Sat,Away,L,1,3,Everton,18,11,0,5,2,0,0,2,2,0,0,0,0,0,Match Report
28,2020-02-22,15:00 (17:00),Matchweek 27,Sat,Home,W,1,0,Newcastle Utd,30,15,6,2,2,5,0,2,1,0,0,0,1,0,Match Report
29,2020-02-29,12:30 (14:30),Matchweek 28,Sat,Away,W,1,0,Brighton,18,6,5,4,2,1,0,1,1,0,0,0,0,0,Match Report
30,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Home,W,1,0,Watford,19,13,3,1,1,1,0,2,2,0,0,0,0,0,Match Report
31,2020-06-20,19:45 (20:45),Matchweek 30,Sat,Away,W,2,0,Bournemouth,12,8,2,0,0,1,1,4,3,0,0,0,1,0,Match Report
32,2020-06-24,20:15 (21:15),Matchweek 31,Wed,Away,L,0,4,Liverpool,4,2,0,1,0,0,1,0,0,0,0,0,0,0,Match Report
33,2020-06-29,20:00 (21:00),Matchweek 32,Mon,Home,L,0,1,Burnley,25,17,3,0,2,3,0,0,0,0,0,0,0,0,Match Report
34,2020-07-04,15:00 (16:00),Matchweek 33,Sat,Away,L,0,3,Leicester City,16,11,1,1,0,1,2,0,0,0,0,0,0,0,Match Report
35,2020-07-07,18:00 (19:00),Matchweek 34,Tue,Home,L,2,3,Chelsea,20,13,3,1,1,2,0,4,3,0,1,0,0,0,Match Report
36,2020-07-12,14:15 (15:15),Matchweek 35,Sun,Away,L,0,2,Aston Villa,16,11,1,1,2,1,0,0,0,0,0,0,0,0,Match Report
37,2020-07-16,20:15 (21:15),Matchweek 36,Thu,Home,L,0,2,Manchester Utd,22,16,0,2,2,1,1,0,0,0,0,0,0,0,Match Report
38,2020-07-20,20:15 (21:15),Matchweek 37,Mon,Away,L,0,2,Wolves,14,10,0,2,0,1,1,1,0,0,0,0,0,1,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,D,1,1,Tottenham,20,11,6,0,1,2,0,1,0,0,0,1,0,0,Match Report
40,,,,,,11-10-17,31,50,,635,412,68,54,34,46,21,50,34,3,4,3,5,1,
