,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 25_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
0,2019-08-10,12:30 (13:30),Matchweek 1,Sat,Away,W,5,0,West Ham,2,0,0,13,6,4,6,13,13,1,0,0,61,17,18,48.6,Match Report
1,2019-08-17,17:30 (18:30),Matchweek 2,Sat,Home,D,2,2,Tottenham,1,0,0,14,4,3,31,10,7,0,0,0,61,15,8,65.2,Match Report
2,2019-08-25,14:00 (15:00),Matchweek 3,Sun,Away,W,3,1,Bournemouth,3,0,0,13,7,4,10,8,12,0,0,0,46,16,15,51.6,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,W,4,0,Brighton,1,0,0,10,6,1,13,10,7,0,0,0,51,6,6,50.0,Match Report
4,2019-09-14,17:30 (18:30),Matchweek 5,Sat,Away,L,2,3,Norwich City,1,0,0,7,8,0,46,7,9,0,0,0,62,19,11,63.3,Match Report
5,2019-09-21,15:00 (16:00),Matchweek 6,Sat,Home,W,8,0,Watford,2,0,0,5,9,2,23,6,12,1,0,0,52,11,4,73.3,Match Report
6,2019-09-28,17:30 (18:30),Matchweek 7,Sat,Away,W,3,1,Everton,2,0,0,8,4,5,13,8,7,0,0,0,54,11,16,40.7,Match Report
7,2019-10-06,14:00 (15:00),Matchweek 8,Sun,Home,L,0,2,Wolves,5,0,0,11,14,1,36,11,7,0,0,0,54,11,15,42.3,Match Report
8,2019-10-19,17:30 (18:30),Matchweek 9,Sat,Away,W,2,0,Crystal Palace,1,0,0,10,8,2,29,6,6,0,0,0,53,21,13,61.8,Match Report
9,2019-10-26,12:30 (13:30),Matchweek 10,Sat,Home,W,3,0,Aston Villa,3,1,1,10,5,1,23,9,6,0,0,0,48,17,9,65.4,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,W,2,1,Southampton,3,0,0,11,9,3,62,3,8,0,0,0,59,18,23,43.9,Match Report
11,2019-11-10,16:30 (18:30),Matchweek 12,Sun,Away,L,1,3,Liverpool,2,0,0,5,10,5,31,10,10,0,0,0,56,14,13,51.9,Match Report
12,2019-11-23,17:30 (19:30),Matchweek 13,Sat,Home,W,2,1,Chelsea,1,0,0,5,9,3,19,10,10,0,0,0,48,12,7,63.2,Match Report
13,2019-11-30,12:30 (14:30),Matchweek 14,Sat,Away,D,2,2,Newcastle Utd,2,0,0,6,3,3,38,9,7,0,0,0,62,16,17,48.5,Match Report
14,2019-12-03,20:15 (22:15),Matchweek 15,Tue,Away,W,4,1,Burnley,1,0,0,6,9,2,28,6,5,0,0,0,49,12,21,36.4,Match Report
15,2019-12-07,17:30 (19:30),Matchweek 16,Sat,Home,L,1,2,Manchester Utd,3,0,0,10,9,0,49,14,7,0,1,0,52,12,11,52.2,Match Report
16,2019-12-15,16:30 (18:30),Matchweek 17,Sun,Away,W,3,0,Arsenal,4,0,0,24,8,1,10,10,11,0,0,0,44,15,9,62.5,Match Report
17,2019-12-21,17:30 (19:30),Matchweek 18,Sat,Home,W,3,1,Leicester City,2,0,0,14,8,1,14,10,10,1,0,0,39,8,11,42.1,Match Report
18,2019-12-27,19:45 (21:45),Matchweek 19,Fri,Away,L,2,3,Wolves,1,1,0,13,7,1,2,14,6,1,0,0,40,18,21,46.2,Match Report
19,2019-12-29,18:00 (20:00),Matchweek 20,Sun,Home,W,2,0,Sheffield Utd,1,0,0,5,6,1,14,3,8,0,0,0,52,12,16,42.9,Match Report
20,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Home,W,2,1,Everton,0,0,0,11,11,3,11,16,8,0,0,0,61,16,29,35.6,Match Report
21,2020-01-12,16:30 (18:30),Matchweek 22,Sun,Away,W,6,1,Aston Villa,1,0,0,12,3,0,16,8,8,0,1,0,56,11,11,50.0,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Home,D,2,2,Crystal Palace,1,0,0,9,6,0,58,9,6,0,0,1,52,21,23,47.7,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Away,W,1,0,Sheffield Utd,3,0,0,13,12,1,27,11,5,1,0,0,45,20,22,47.6,Match Report
24,2020-02-02,16:30 (18:30),Matchweek 25,Sun,Away,L,0,2,Tottenham,5,1,1,14,6,0,24,12,9,1,0,0,53,13,8,61.9,Match Report
25,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,For Manchester City,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Match Report
27,2020-02-19,19:30 (21:30),Matchweek 26,Wed,Home,W,2,0,West Ham,0,0,0,5,6,1,35,7,7,0,0,0,57,8,10,44.4,Match Report
28,2020-02-22,17:30 (19:30),Matchweek 27,Sat,Away,W,1,0,Leicester City,0,0,0,10,13,1,20,15,11,0,0,0,60,9,8,52.9,Match Report
29,2020-03-08,16:30 (18:30),Matchweek 29,Sun,Away,L,0,2,Manchester Utd,4,0,0,9,10,2,31,8,5,0,0,0,47,11,7,61.1,Match Report
30,2020-06-17,20:15 (21:15),Matchweek 28,Wed,Home,W,3,0,Arsenal,1,0,0,9,7,1,9,13,3,1,0,0,34,6,2,75.0,Match Report
31,2020-06-22,20:00 (21:00),Matchweek 30,Mon,Home,W,5,0,Burnley,1,0,0,8,7,1,9,2,8,1,0,0,42,18,11,62.1,Match Report
32,2020-06-25,20:15 (21:15),Matchweek 31,Thu,Away,L,1,2,Chelsea,1,1,0,3,13,1,20,5,5,0,1,0,45,5,11,31.3,Match Report
33,2020-07-02,20:15 (21:15),Matchweek 32,Thu,Home,W,4,0,Liverpool,2,0,0,8,7,3,11,8,7,1,0,0,52,10,11,47.6,Match Report
34,2020-07-05,19:00 (20:00),Matchweek 33,Sun,Away,L,0,1,Southampton,2,0,0,7,6,3,42,9,10,0,0,0,60,20,15,57.1,Match Report
35,2020-07-08,18:00 (19:00),Matchweek 34,Wed,Home,W,5,0,Newcastle Utd,0,0,0,13,7,2,21,15,1,0,0,0,53,14,5,73.7,Match Report
36,2020-07-11,20:00 (21:00),Matchweek 35,Sat,Away,W,5,0,Brighton,0,0,0,3,7,1,21,12,13,0,0,0,54,10,10,50.0,Match Report
37,2020-07-15,18:00 (19:00),Matchweek 36,Wed,Home,W,2,1,Bournemouth,1,0,0,10,8,2,14,8,9,0,0,0,41,21,27,43.8,Match Report
38,2020-07-21,18:00 (19:00),Matchweek 37,Tue,Away,W,4,0,Watford,0,0,0,11,14,3,25,7,10,1,0,0,53,12,17,41.4,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,W,5,0,Norwich City,1,0,0,7,4,0,24,10,8,0,0,0,51,9,7,56.3,Match Report
40,,,,,,26-3-9,102,35,,64,4,2,362,296,68,915,352,301,10,3,1,1959,515,498,50.8,
