,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Unnamed: 35_level_0
,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
0,2019-08-10,12:30 (13:30),Matchweek 1,Sat,Home,L,0,5,Manchester City,9,5,4,55.6,0,4.0,-1.0,1,1,0,0,9,20,45.0,29,6,48.3,39.3,6,100.0,66.5,3,0,0.0,0,13.5,Match Report
1,2019-08-17,15:00 (16:00),Matchweek 2,Sat,Away,D,1,1,Brighton,4,1,3,75.0,0,0.9,-0.1,0,0,0,0,4,28,14.3,21,2,71.4,50.6,14,92.9,59.7,23,0,0.0,2,14.2,Match Report
2,2019-08-24,15:00 (16:00),Matchweek 3,Sat,Away,W,3,1,Watford,3,1,2,66.7,0,0.7,-0.3,0,0,0,0,8,21,38.1,20,10,55.0,42.4,11,90.9,62.6,21,2,9.5,0,8.3,Match Report
3,2019-08-31,15:00 (16:00),Matchweek 4,Sat,Home,W,2,0,Norwich City,3,0,3,100.0,1,0.0,0.0,0,0,0,0,15,21,71.4,24,4,66.7,46.6,7,71.4,57.3,11,0,0.0,0,,Match Report
4,2019-09-16,20:00 (21:00),Matchweek 5,Mon,Away,D,0,0,Aston Villa,5,0,5,100.0,1,0.5,+0.5,0,0,0,0,13,22,59.1,23,4,60.9,40.8,8,100.0,64.1,14,0,0.0,0,7.0,Match Report
5,2019-09-22,14:00 (15:00),Matchweek 6,Sun,Home,W,2,0,Manchester Utd,3,0,3,100.0,1,0.1,+0.1,0,0,0,0,4,19,21.1,21,1,71.4,49.3,6,66.7,58.5,17,0,0.0,0,7.0,Match Report
6,2019-09-28,15:00 (16:00),Matchweek 7,Sat,Away,D,2,2,Bournemouth,5,2,3,60.0,0,1.5,+0.5,0,0,0,0,4,26,15.4,28,1,78.6,52.6,4,100.0,61.3,13,0,0.0,0,,Match Report
7,2019-10-05,17:30 (18:30),Matchweek 8,Sat,Home,L,1,2,Crystal Palace,3,2,1,66.7,0,1.9,-0.1,1,1,0,0,8,18,44.4,20,1,60.0,42.4,6,100.0,66.0,9,0,0.0,1,13.0,Match Report
8,2019-10-19,12:30 (13:30),Matchweek 9,Sat,Away,L,0,2,Everton,10,2,8,80.0,0,2.1,+0.1,0,0,0,0,8,27,29.6,31,7,67.7,47.7,7,85.7,56.4,21,0,0.0,0,,Match Report
9,2019-10-26,15:00 (16:00),Matchweek 10,Sat,Home,D,1,1,Sheffield Utd,3,1,2,66.7,0,1.2,+0.2,0,0,0,0,4,21,19.0,25,1,72.0,47.8,3,100.0,63.7,10,0,0.0,2,21.7,Match Report
10,2019-11-02,15:00 (17:00),Matchweek 11,Sat,Home,L,2,3,Newcastle Utd,9,3,6,66.7,0,3.5,+0.5,0,0,0,0,2,5,40.0,18,5,27.8,29.5,3,0.0,16.3,9,0,0.0,3,17.4,Match Report
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Away,L,0,3,Burnley,12,3,10,75.0,0,3.5,+1.5,0,0,0,0,7,31,22.6,37,6,67.6,44.2,6,100.0,62.2,21,0,0.0,3,16.8,Match Report
12,2019-11-23,12:30 (14:30),Matchweek 13,Sat,Home,L,2,3,Tottenham,6,3,3,50.0,0,2.7,-0.3,0,0,0,0,8,19,42.1,21,4,71.4,45.1,4,100.0,63.8,11,0,0.0,0,7.0,Match Report
13,2019-11-30,15:00 (17:00),Matchweek 14,Sat,Away,W,1,0,Chelsea,6,0,6,100.0,1,1.2,+1.2,0,0,0,0,11,26,42.3,18,3,83.3,52.8,11,100.0,62.4,25,1,4.0,0,10.7,Match Report
14,2019-12-04,19:30 (21:30),Matchweek 15,Wed,Away,L,0,2,Wolves,7,2,5,71.4,0,1.8,-0.2,0,0,0,0,4,13,30.8,11,3,63.6,38.0,6,100.0,60.0,14,0,0.0,1,30.0,Match Report
15,2019-12-09,20:00 (22:00),Matchweek 16,Mon,Home,L,1,3,Arsenal,3,3,0,0.0,0,1.7,-1.3,0,0,0,0,3,10,30.0,10,1,70.0,47.7,3,100.0,63.0,6,0,0.0,0,21.0,Match Report
16,2019-12-14,17:30 (19:30),Matchweek 17,Sat,Away,W,1,0,Southampton,2,0,2,100.0,1,0.4,+0.4,0,0,0,0,16,31,51.6,20,1,95.0,52.9,12,100.0,62.7,22,0,0.0,0,6.0,Match Report
17,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Away,L,1,2,Crystal Palace,4,2,2,50.0,0,1.6,-0.4,0,0,0,0,8,20,40.0,18,2,61.1,42.5,9,100.0,62.8,14,0,0.0,1,10.7,Match Report
18,2019-12-28,17:30 (19:30),Matchweek 20,Sat,Home,L,1,2,Leicester City,8,2,5,75.0,0,3.4,+1.4,1,0,1,0,2,10,20.0,21,6,42.9,38.4,3,33.3,34.7,13,0,0.0,0,10.5,Match Report
19,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Home,W,4,0,Bournemouth,2,0,2,100.0,1,0.4,+0.4,0,0,0,0,6,19,31.6,22,3,77.3,46.4,2,100.0,57.0,11,0,0.0,0,,Match Report
20,2020-01-10,20:00 (22:00),Matchweek 22,Fri,Away,L,0,1,Sheffield Utd,3,1,2,66.7,0,0.9,-0.1,0,0,0,0,8,25,32.0,22,4,59.1,41.6,14,85.7,56.6,20,0,0.0,0,4.7,Match Report
21,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Home,D,1,1,Everton,3,1,2,66.7,0,1.1,+0.1,0,0,0,0,8,14,57.1,17,4,52.9,40.9,6,83.3,53.8,19,0,0.0,1,14.5,Match Report
22,2020-01-22,19:30 (21:30),Matchweek 24,Wed,Away,L,1,4,Leicester City,8,4,4,62.5,0,3.4,-0.6,1,1,0,0,6,15,40.0,9,0,77.8,47.1,8,100.0,59.9,15,0,0.0,2,18.3,Match Report
23,2020-01-29,19:45 (21:45),Matchweek 18,Wed,Home,L,0,2,Liverpool,5,2,3,80.0,0,3.4,+1.4,1,1,0,0,7,15,46.7,20,6,55.0,40.5,4,100.0,63.0,15,1,6.7,2,17.4,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Home,D,3,3,Brighton,6,3,4,50.0,0,1.6,-0.4,0,0,0,0,17,22,77.3,15,3,73.3,45.0,12,91.7,57.7,20,2,10.0,1,7.6,Match Report
25,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,For West Ham United,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
27,2020-02-19,19:30 (21:30),Matchweek 26,Wed,Away,L,0,2,Manchester City,7,2,5,71.4,0,1.2,-0.8,0,0,0,0,7,20,35.0,21,8,57.1,40.9,9,88.9,56.9,24,0,0.0,0,7.2,Match Report
28,2020-02-24,20:00 (22:00),Matchweek 27,Mon,Away,L,2,3,Liverpool,7,3,4,57.1,0,1.8,-1.2,0,0,0,0,9,24,37.5,13,3,61.5,43.3,17,94.1,63.1,33,1,3.0,1,10.7,Match Report
29,2020-02-29,15:00 (17:00),Matchweek 28,Sat,Home,W,3,1,Southampton,2,1,1,50.0,0,1.0,0.0,0,0,0,0,4,13,30.8,12,2,66.7,50.0,6,83.3,56.0,21,2,9.5,0,6.5,Match Report
30,2020-03-07,15:00 (17:00),Matchweek 29,Sat,Away,L,0,1,Arsenal,2,1,1,50.0,0,1.6,+0.6,0,0,0,0,11,23,47.8,21,3,71.4,45.9,8,100.0,63.0,16,1,6.3,0,8.5,Match Report
31,2020-06-20,17:30 (18:30),Matchweek 30,Sat,Home,L,0,2,Wolves,6,2,4,66.7,0,1.9,-0.1,0,0,0,0,5,9,55.6,19,8,31.6,34.4,3,100.0,62.0,16,0,0.0,1,13.0,Match Report
32,2020-06-23,20:15 (21:15),Matchweek 31,Tue,Away,L,0,2,Tottenham,4,2,3,50.0,0,1.9,+0.9,0,0,0,0,12,29,41.4,23,1,69.6,46.5,15,86.7,62.3,15,0,0.0,0,3.5,Match Report
33,2020-07-01,20:15 (21:15),Matchweek 32,Wed,Home,W,3,2,Chelsea,6,2,4,83.3,0,1.8,-0.2,1,1,0,0,9,22,40.9,16,1,87.5,56.3,8,100.0,64.6,23,0,0.0,0,5.0,Match Report
34,2020-07-05,14:15 (15:15),Matchweek 33,Sun,Away,D,2,2,Newcastle Utd,4,2,2,50.0,0,2.1,+0.1,0,0,0,0,3,19,15.8,24,5,50.0,40.6,7,100.0,69.7,14,1,7.1,1,11.5,Match Report
35,2020-07-08,18:00 (19:00),Matchweek 34,Wed,Home,L,0,1,Burnley,4,1,3,75.0,0,1.5,+0.5,0,0,0,0,8,18,44.4,21,4,66.7,45.4,5,80.0,59.4,15,0,0.0,0,8.0,Match Report
36,2020-07-11,12:30 (13:30),Matchweek 35,Sat,Away,W,4,0,Norwich City,2,0,2,100.0,1,0.2,+0.2,0,0,0,0,7,14,50.0,23,5,34.8,36.9,10,60.0,47.0,8,0,0.0,0,14.5,Match Report
37,2020-07-17,20:00 (21:00),Matchweek 36,Fri,Home,W,3,1,Watford,3,1,2,66.7,0,1.0,0.0,0,0,0,0,10,25,40.0,14,2,85.7,57.1,13,100.0,61.6,21,0,0.0,0,8.0,Match Report
38,2020-07-22,18:00 (19:00),Matchweek 37,Wed,Away,D,1,1,Manchester Utd,4,1,3,75.0,0,0.7,-0.3,0,0,0,0,7,14,50.0,21,3,47.6,37.3,9,44.4,34.9,4,0,0.0,0,,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,D,1,1,Aston Villa,4,1,3,75.0,0,0.2,-0.8,0,0,0,0,6,15,40.0,24,9,45.8,34.8,6,66.7,50.7,13,1,7.7,0,12.0,Match Report
40,,,,,,10-9-19,49,62,,187,62,127,69.5,7,60.5,+2.4,6,5,1,0,288,743,38.8,773,142,62.7,44.1,291,88.7,58.9,600,12,2.0,22,12.2,
